year,quarter,ivf_total_nacional,ivf_turistico_total,ivf_turistico_bienes,ivf_turistico_servicios
2023,,103.3,104.5,109.4,103.2
,          T1,100.3,107.4,119.3,104.3
,          T2,103.5,104.3,109.9,102.9
,          T3,103.7,100.7,102.2,100.4
,          T4,105.9,105.5,106.1,105.4
2024,,104.7,107.1,106.4,107.3
,          T1,102.0,113.0,116.2,112.1
,          T2,105.6,105.7,101.9,106.7
,          T3,105.1,101.8,100.7,102.1
,          T4,106.2,107.8,106.8,108.1
     2025,,,,,
,T1,102.6,112.1,117.6,110.7
,T2,105.5,106.0,102.8,106.8
,T3,105.0,102.4,102.5,102.4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
