cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,2018/m08,2018/m09,2018/m10,2018/m11,2018/m12,2019/m01,2019/m02,2019/m03,2019/m04,2019/m05,2019/m06,2019/m07,2019/m08,2019/m09,2019/m10,2019/m11,2019/m12,2020/m01,2020/m02,2020/m03,2020/m04,2020/m05,2020/m06,2020/m07,2020/m08,2020/m09,2020/m10,2020/m11,2020/m12,2021/m01,2021/m02,2021/m03,2021/m04,2021/m05,2021/m06,2021/m07,2021/m08,2021/m09,2021/m10,2021/m11,2021/m12,2022/m01,2022/m02,2022/m03,2022/m04,2022/m05,2022/m06,2022/m07,2022/m08,2022/m09,2022/m10,2022/m11,2022/m12,2023/m01,2023/m02,2023/m03,2023/m04,2023/m05,2023/m06,2023/m07,2023/m08,2023/m09,2023/m10,2023/m11,2023/m12,2024/m01,2024/m02,2024/m03,2024/m04,2024/m05,2024/m06,2024/m07,2024/m08,2024/m09,2024/m10,2024/m11,2024/m12,2025/m01,2025/m02,2025/m03,2025/m04,2025/m05,2025/m06,2025/m07,2025/m08,2025/m09,2025/m10,2025/m11,2025/m12,unidad_medida
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123171,"Gasto medio de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas de internación>Vía aérea. Absoluto",954.36,1008.56,953.45,916.95,978.3,1074.21,1074.88,1024.66,1029.5,1009.37,912.94,1001.04,1067.09,1018.88,923.53,923.27,957.52,1031.74,1069.27,1025.08,751.03,746.65,757.83,988.49,984.83,957.35,895.01,877.79,952.96,1052.52,1073.66,1041.28,1073.75,1062.31,1133.55,1146.76,1230.83,1123.45,1111.27,1149.43,1052.1,1157.28,1171.53,1146.95,1141.27,1112.37,1077.05,1122.36,1133.44,1057.7,1005.46,1081.09,1067.49,1237.27,1215.73,1198.35,1188.54,1098.35,1095.91,1072.97,1068.24,1051.31,1015.68,1076.58,1120.13,1261.72,1260.5,1222.22,1205.59,1115.31,1095.4,1097.49,1114.76,1084.57,1055.95,1158.64,1210.17,1306.76,1326.6,1302.38,1331.29,1222.82,1171.51,1193.64,1101.91,1110.89,1110.32,1218.13,1157.76,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123172,"Gasto medio de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas fronterizos>En automóviles. Absoluto",61.81,54.69,61.12,68.85,74.7,73.41,68.11,58.62,63.8,67.36,63.69,65.81,65.04,68.78,58.98,62.59,59.82,67.01,61.62,69.76,38.57,40.8,40.55,46.55,47.17,54.24,51.82,53.1,64.21,70.62,74.69,86.99,80.97,87.62,79.89,89.33,94.58,101.25,97.97,104.35,85.85,94.26,92.87,108.77,107.99,108.22,102.42,110.52,105.47,109.87,111.84,108.23,120.05,110.77,112.77,110.36,104.5,105.28,118.77,115.22,112.92,105.38,108.85,115.6,101.41,106.49,112.37,109.44,100.78,108.57,123.38,131.05,105.07,116.65,103.7,107.06,113.91,123.28,111.63,114.39,113.17,109.46,112.84,125.62,115.53,124.09,117.04,116.91,122.06,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123173,"Gasto total de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Excursionistas fronterizos>En automóviles. Absoluto",115141072,96853985,108371009,98299329,92176620,101380053,96930067,107261212,111046160,111220890,106984975,105248202,114881571,95028647,103223317,110894186,109080391,104236295,105431463,103859594,46432603,46046776,45703007,49676479,32090744,52504082,58242328,56104803,57148653,70384199,65494995,74354106,72062117,77800612,68294578,79682430,73695969,79327404,82052300,71129216,67125316,64066018,63404897,76749081,68870011,75259547,74857147,69195339,75386345,71878437,88046091,79138547,84643028,83699609,80369494,95901661,87097950,99204880,112864795,88316835,90534860,83033688,92204608,95522639,106164034,92493192,101012866,116262958,111252255,139778856,154753744,133797171,135497041,108197449,152855330,122449902,144732491,143044812,127988559,135139009,136905668,175705256,170501053,167709203,163139169,160779689,173535840,171373955,172142315,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123174,"Gasto total de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas fronterizos>Peatones. Absoluto",14093185,11598932,13520726,15883221,16314800,14475617,13857078,15428138,14990154,13562088,14117600,15180017,14641440,14775572,14298773,15154891,16301747,16336575,14611351,14276319,5448676,5217184,7109333,8099647,7521487,11249406,10944368,10403501,10352586,13088382,11443630,14507579,14814793,15696022,14823539,19238611,18702323,15939118,18236465,13317784,11230723,13585983,9440906,15463041,13291819,13120119,14453450,15185383,21234764,17152137,14600123,17853145,19833505,19226658,13189693,17431675,18027070,17544320,18907959,18094222,17025081,15247422,20114279,17765705,20959719,14607853,13962850,18162632,21815162,23905632,17659376,21732513,27015544,25070392,23188925,23461129,19515568,23547784,22594174,20680701,21937588,21883232,19962843,26189853,29966512,26753241,27950505,24556124,29368060,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123175,"Número de visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas fronterizos>Peatones. Absoluto",264212,258582,261924,293502,298464,292500,269558,306180,304129,307496,294105,306987,318725,321729,320289,319991,307161,279483,298737,266299,151304,155501,198265,173097,136548,222600,218694,207402,210701,230747,179608,213431,219377,223159,220160,264197,242091,223936,249590,173625,183915,199232,150815,185776,155718,176494,206660,211997,209135,193123,182111,190130,229170,240756,176199,197373,220158,223985,227099,230045,223052,213225,239020,221564,236775,204252,179820,199113,227644,236605,246738,253926,279686,286431,331627,290793,262869,260621,223061,269553,242616,237937,228973,278673,285239,288521,310138,308173,337921,Entradas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123176,"Gasto medio de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas fronterizos>Peatones. Absoluto",53.34,44.86,51.62,54.12,54.66,49.49,51.41,50.39,49.29,44.1,48,49.45,45.94,45.93,44.64,47.36,53.07,58.45,48.91,53.61,36.01,33.55,35.86,46.79,55.08,50.54,50.04,50.16,49.13,56.72,63.71,67.97,67.53,70.34,67.33,72.82,77.25,71.18,73.07,76.7,61.06,68.19,62.6,83.23,85.36,74.34,69.94,71.63,101.54,88.81,80.17,93.9,86.54,79.86,74.86,88.32,81.88,78.33,83.26,78.66,76.33,71.51,84.15,80.18,88.52,71.52,77.65,91.22,95.83,101.04,71.57,85.59,96.59,87.53,69.92,80.68,74.24,90.35,101.29,76.72,90.42,91.97,87.18,93.98,105.06,92.73,90.12,79.68,86.91,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123177,"Gasto total de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas de internación>Vía terrestre. Absoluto",105686094,80236790,74118437,97836133,164989092,111552434,92968310,125301210,114170583,107092786,140449813,136557978,115364020,70290256,87992561,104913032,176705270,81602829,81196315,83361574,22280239,39345881,52101134,75235368,69473589,70036411,68402667,88122766,122948941,51675775,43836888,78532713,75270849,94813641,121381941,129471803,63940710,67842065,81931080,119782241,195874002,63958371,65199354,101036260,107045131,97779453,131371976,161911462,108664582,97750550,109197354,123117562,271212521,98216227,76912895,100945903,85180004,91758508,117828366,148002514,96138716,64800630,64726132,100991707,220007723,91417731,67790335,94676310,68770829,108064253,117051791,154520920,100845611,80628870,94178729,114340513,204690042,94556615,82794032,115437424,95651578,110523319,133742058,167654915,132938433,84568046,100867830,123004598,237745142,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123178,"Gasto total de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Excursionistas fronterizos>Peatones. Absoluto",24561969,25503861,24874928,26920166,26745388,25797218,25682202,29234949,28461415,30159977,28801953,27469088,26810303,22962210,22127329,22929624,29572808,24635072,26554909,22433316,13043228,12540246,10605971,11728538,10276846,14029716,16871130,16682093,15664708,20762473,21321707,23106097,22451941,24782598,25077960,24464388,25027993,24228756,23808626,18534148,18773393,16724944,15072018,18891152,20753600,20082133,18919721,20510920,20553929,19204443,21705695,21002390,21836820,21497414,19578572,23549451,20890914,21703584,23819347,20937345,20953858,21053197,21680560,25387805,28554181,22359902,22681487,27012166,25908305,31498365,30791775,28021083,33259056,32805075,31803487,29085304,32788058,30573304,30864484,32553781,30872976,34059319,28154412,35644488,33361490,37379941,39300723,38838014,40009634,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123179,"Gasto medio de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Excursionistas fronterizos>Peatones. Absoluto",33.88,38.74,32.05,33.88,36.03,34.64,34.78,32.24,32.04,34.05,38.66,35.52,36.86,31.48,28.79,27.34,33.17,30.8,33.72,34.47,36.8,34.83,34.39,40.63,39.87,34.18,33.8,34.25,35.39,40.42,44.29,45.35,45.38,46.72,48.56,46.67,49.04,51.47,45.82,43.6,45.34,41.49,39.96,45.15,47.45,43.71,43.12,44.28,44.5,43.99,46.24,45.11,45.94,44.32,44.12,45.46,45.45,45.35,48.93,47.32,49.09,45.39,45.05,50.31,51.45,42.31,40.85,43.37,44.2,53.98,48.46,48.4,48.38,50.96,42.74,43.3,41.96,46.02,51.95,41.51,44.2,46.15,47.15,50.14,43.36,47.28,46.31,47.38,46.84,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123180,"Gasto total de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Excursionistas en cruceros. Absoluto",35649178,31082664,43106028,49440171,61182292,66481257,55192804,65847690,63372322,37269644,35927176,41146567,41066095,36284509,49773610,58914536,74689596,76155764,58104276,48044860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823115,3094935,6810633,12385798,19248696,35531922,46477032,30497905,34938022,52669669,47127174,33289832,36565242,36638014,38291396,33779072,46325510,71283284,81333936,86227247,70372109,84391046,65806250,50231126,50846698,47693771,49550509,39408311,53708004,63626078,80453037,88510379,78796089,85921826,72536288,56129914,53217294,63139255,59059761,41913109,66931512,81218447,101652448,99144689,92370591,96681097,80505139,59009627,56449519,69142118,57349394,58203531,81726944,97327003,118764478,Dólares
